title,content,title_mecab,content_mecab,title_okt,content_okt,title_hannanum,content_hannanum,title_komoran,content_komoran
여신전문금융회사가 영위할 수 있는 업무의 범위,"  【질문내용】여신전문금융회사가 영위할 수 있는 업무의 범위는?【답변내용】여신전문금융업법 제46조에서는 여신전문금융회사가 영위할 수 있는 업무를 금융감독위원회에 허가 및 등록한 업무, 매출채권 양수․관리․회수 업무, 대출업무 등으로 한정적으로 나열하고 있음.따라서 여전사는 현행 법규상 동 법 제46조에서 나열하고 있지 아니한 업무는 업으로 영위할 수 없으며 이를 위반시 대통령령이 정하는 바에 따라 1억원 이하의 과징금이 부과될 수 있음.다만, 우리원은 여신전문금융업감독규정 개정(’05.5.27.)을 통하여 여전사의 업무범위를 확대하는 등 여신전문금융회사의 영업기반 강화를 위해 노력하고 있음.",여신 전문 금융 회사 영위 수 업무 범위,질문 내용 여신 전문 금융 회사 영위 수 업무 범위 답변 내용 여신 전문 금융업 법 조 여신 전문 금융 회사 영위 수 업무 금융 감독 위원회 허가 등록 업무 매출채권 양수 관리 회수 업무 대출 업무 등 한정 나열 여전사 현행 법규 법 조 나열 업무 업 영위 수 이 위 반시 대통령령 바 억 원 이하 과징금 부과 수 우리 원 여신 전문 금융업 감독 규정 개정 여전사 업무 범위 확대 등 여신 전문 금융 회사 영업 기반 강화 노력,금융 회사 영위 수 업무 범위,질문 내용 금융 회사 영위 수 업무 범위 답변 내용 여신전문금융업법 제 금융 회사 영위 수 업무 금융 감독 위원회 허가 및 등록 업무 매출채권 양수 관리 회수 업무 대출 업무 등 한정 따라서 전사 현행 법규 법 제 업무 업 영위 수 위반 시 대통령령 정 바 이하 과징금 부과 수 다만 우리 금융업 감독 규정 개정 통 여전 사의 업무 범위 확대 등 금융 회사 영업 기반 강화 위해 노력,여신전문금융회사 영위 수 업무 범위,【질문내용】여신전문금융회사 영위 수 업무 범위 【답변내용】여신전문금융업법 제46조에서 여신전문금융회사 영위 수 업무 금융감독위원회 허가 등록 업무 매출채권 양수․관리․회수 업무 대출업무 등 한정적 나열 여전사 현행 법규상 동 법 제46조 나열 업무 업 영위 수 이 위반시 대통령령 바 1억원 이하 과징금 부과 수 우리원 여신전문금융업감독규정 개정(’05. 5. 27 을 여전사의 업무범위 확대 등 여신전문금융회사 영업기반 강화 노력,여신 전문 금융 회사 영위 수 업무 범위,질문 내용 여신 전문 금융 회사 영위 수 업무 범위 답변 내용 여신전문금융업법 여신 전문 금융 회사 영위 수 업무 금융 감독 위원회 허가 등록 업무 매출채권 양수 관리 회수 업무 대출 업무 등 한정 나열 여 전사 현행 법규 법 나열 업무 업 영위 수 위 반시 대통령령 바 원 이하 과징금 부과 수 다만 원 여신 전문 금융업 감독 규정 개정 여 전사 업무 범위 확대 등 여신 전문 금융 회사 영업 기반 강화 노력
여신전문금융회사의 경영공시 열람,"  【질문내용】여신전문금융회사의 경영공시를 볼 수 있는 곳은?【답변내용】여신전문금융사는 여신전문금융업감독규정 제23조에 따라 결산일로부터 3월 이내에 조직 및 인력에 관한 사항 및 재무 및 손익에 관한 사항 등을 공시하여야 함. 다만, 상반기 결산결과에 대한 공시자료는 상반기 결산일로부터 2월 이내에 공시하여야 함.여전사의 경영공시 내용은 각 여신전문금융사 홈페이지 및 여신금융협회(www.crefia.co.kr)에서 확인할 수 있으며, 금융감독원 전자공시시스템(http://dart.fss.or.kr)에서도 확인할 수 있음.",여신 전문 금융 회사 경영 공시 열람,질문 내용 여신 전문 금융 회사 경영 공시 수 곳 답변 내용 여신 전문 금융 여신 전문 금융업 감독 규정 조 결산일 월 이내 조직 인력 사항 재무 손익 사항 등 공시 상반기 결산 결과 공시 자료 상반기 결산일 월 이내 공시 여전사 경영 공시 내용 여신 전문 금융 사 홈페이지 여신 금융 협회 확인 수 금융 감독원 전자 공시 시스템 확인 수,금융 회사 경영 공시 열람,질문 내용 금융 회사 공시 볼 수 곳 답변 내용 금융 금융업 감독 규정 제 결산 일로 이내 조직 및 인력 관 사항 및 재무 및 손익 관 사항 등 공시 함 다만 상반기 결산 결과 대한 자료 상반기 결산 일로 이내 공시 함 여전 사의 경영 공시 내용 각 금융 사 홈페이지 및 여신 금융 협회 확인 수 금융감독원 자공시 시스템 확인 수,여신전문금융회사 경영공시 열람,【질문내용】여신전문금융회사 경영공시 수 곳 【답변내용】여신전문금융사 여신전문금융업감독규정 제23조 결산일 3월 이내 조직 인력 사항 재무 손익 사항 등 공시 상반기 결산결과 공시자료 상반기 결산일 2월 이내 공시 여전사의 경영공시 내용 여신전문금융사 홈페이지 여신금융협회(www. 확인 수 금융감독원 . 확인 수,여신 전문 금융 회사 경영 공시 열람,질문 내용 여신 전문 금융 회사 경영 공시 수 곳 답변 내용 여신 전문 금융사 여신 전문 금융업 감독 규정 조에 결산일 3월 이내 조직 인력 사항 재무 손익 사항 등 공시 상반기 결산 결과 공시 자료 상반기 결산일 2월 이내 공시 여 전사 경영 공시 내용 여신 전문 금융사 홈페이지 여신금융협회 .co .kr 확인 수 금융감독원 전자공시시스템 .kr 확인 수
시설대여업자의 자동차 렌탈업 영위 가능여부,"  【질문내용】시설대여업자의 경우도 자동차 렌탈업을 제한 없이 영위할 수 있는지?【답변내용】여신전문금융업감독규정에 따르면 여신전문금융업법상의 시설대여업자는 대여중인 물건이 정비, 수선 등의 사유로 사용이 곤란한 경우와 같이 예외적인 경우를 제외하고는 기준내용연수의 100분의 20이상의 장기 렌탈만 취급할 수 있음.따라서 자동차 렌탈의 경우 1년 미만의 단기 렌탈은 원칙적으로 허용되지 아니함. 또한 물건별 렌탈자산의 분기중 평균잔액(미상각잔액)은 해당 리스자산의 분기중 평균잔액(금융리스채권잔액과 운용리스자산의 미상각잔액의 합계액)을 초과하지 못하도록 하여 시설대여업자의 과도한 렌탈업 진출을 제한하고 있음.참고로 여신전문금융업법상 등록된 시설대여업자라 하더라도 자동차 렌탈업을 영위하기 위해서는 별도로 건교부에 자동차대여사업으로 등록하여야 하는 등 기존 렌탈업자와 동일하게 여객자동차운수사업법의 적용을 받게 됨.",시설 대여 업자 자동차 렌탈 업 영위 가능 여부,질문 내용 시설 대여 업자 경우 자동차 렌탈 업 제한 영위 수 답변 내용 여신 전문 금융업 감독 규정 여신 전문 금융업 법 시설 대여 업자 대여 중 물건 정비 수선 등 사유 사용 곤란 경우 예외 경우 제외 기준 내용 연수 분 이상 장기 렌탈 취급 수 자동차 렌탈 경우 년 미만 단기 렌탈 원칙 허용 물건 렌탈 자산 분기 중 평균 잔액 미 상각 잔액 해당 리스 자산 분기 중 평균 잔액 금융 리스 채권 잔액 운용 리스 자산 미상 잔액 합계액 초과 시설 대여 업자 과도 렌탈 업 진출 제한 참고 여신 전문 금융업 법상 등록 시설 여업 자라 자동차 렌탈 업 영위 별도 건교부 자동차 대여 사업 등록 등 기존 렌탈 업자 동일 여객 자동차 운수 사업 법 적용,시설 업자 자동차 렌탈업 영위 가능 여부,질문 내용 시설 업자 경우 자동차 렌탈업 제한 영위 수 답변 내용 금융업 감독 규정 여신전문금융업법 상의 시설 업자 대여 물건 정비 수선 등 사유 사용 경우 외적인 경우 제외 기준 내용 수의 이상 장기 렌탈 취급 수 따라서 자동차 렌탈 경우 미만 단기 렌탈 원칙 허용 함 또한 물건 별 렌탈자산 분기 평균 잔액 미상 잔액 은 해당 리스 자산 분기 평균 잔액 금융리스 채권 잔액 운용 리스 자산 미상 잔액 합계 액 초과 시설 업자 과도 렌탈업 진출 제한 참고 여신전문금융업법 등록 시설 업자 자동차 렌탈업 영위 위 별도 건교부 자동차 사업 등록 등 기존 렌탈업자 여객 자동차 운수 사업 법 적용,시설대여업자 자동차 렌탈업 영위 가능여부,【질문내용】시설대여업자 경우 자동차 렌탈업 영위 수 【답변내용】여신전문금융업감독규정 여신전문금융업법상 시설대여업자 대여중 물건 정비 수 등 사유 사용 곤란 경우 예외적 경우 제외 기준내용연수 100분 20 장기 렌탈만 취급 수 자동차 렌탈 경우 1년 미만 단기 렌탈 원칙적 허용 물건별 렌탈자산 분기중 평균잔액(미상각잔액) 해당 리스자산 분기중 평균잔액(금융리스채권잔액 운용리스자산 미상각잔액 합계액 초과 시설대여업자 과도한 렌탈업 진출 제한 참고 여신전문금융업법상 등록 시설대여업자 자동차 렌탈업 영위 별도 건교부 자동차대여사업 등록 등 기존 렌탈업자 동일 여객자동차운수사업법 적용 됨,시설 대여 업자 자동차 레 업 영위 여부,질문 내용 시설 대여 업자 경우 자동차 레 업 제한 영위 수 답변 내용 여신 전문 금융업 감독 규정 여신전문금융업법 시설 대여 업자 대여 중인 물건 정비 수선 등 사유 사용 곤란 경우 예외 경우 제외 기준 내용 연수 분 이상의 장기 레 탈 취급 수 자동차 레 탈 경우 년 미만 단기 레 탈 원칙 허용 물건 레 자산 분기 중 평균 잔액 미 상각 잔액 해당 리스 자산 분기 중 평균 잔액 금융리스 채권 잔액 운용 리스 자산 미 상각 잔액 합계 액 초과 시설 대여 업자 과도 레 업 진출 제한 참고 여신전문금융업법 등록 시설 대여업 자라 자동차 레 업 영위 별도 건교부 자동차 대여 사업 등록 등 기존 레 업자 여객 자동차 운수 사업 법 적용
"할부금융업, 시설대여업 등록시 혜택 및 규제사항","  【질문내용】할부금융업, 시설대여업 등록시 혜택 및 규제사항은?【답변내용】할부금융업과 시설대여업은 금융감독위원회 등록 대상이나, 등록없이 이를 영위하는 것이 금지되어 있지 아니하므로 사업자가 등록 여부를 결정할 수 있음. 다만, 금융감독위원회에 등록하는 경우 우리원의 검사․감독의 대상이 되며, 자금조달방법의 제한(법 제47조), 부동산 취득 제한(법 제49조), 자기계열사에 대한 여신 제한(법 제50조) 등의 각종 규제를 받게 됨. 또한 금감위 등록 여신전문금융사는 여신전문금융업법에 따라 대외무역법상의 특례(법 제30조), 의료기기법상의 특례(법 제31조), 행정처분상의 특례(법 제32조), 등기․등록상의 특례(법 제33조), 사채발행의 특례(법 제48조) 등의 혜택도 동시에 적용 받게 됨.",할부 금융업 시설 여업 등록 시 혜택 규제 사항,질문 내용 할부 금융업 시설 여업 등록 시 혜택 규제 사항 답변 내용 할부 금융업 시설 여업 금융 감독 위원회 등록 대상 등록 이 영위 것 금지 사업자 등록 여부 결정 수 금융 감독 위원회 등록 경우 우리 원 검사 감독 대상 자금 조달 방법 제한 법 조 부동산 취득 제한 법 조 자기 계열사 여신 제한 법 조 등 각종 규제 금감위 등록 여신 전문 금융 여신 전문 금융업 법 대외 무역 법 특례 법 조 의료기 기법 특례 법 조 행정 처분 특례 법 조 등기 등록 특례 법 조 사채 발행 특례 법 조 등 혜택 동시 적용,할부 금융업 시설 대여 업 등록 시 혜택 및 규제 사항,질문 내용 할부 금융업 시설 대여 업 등록 시 혜택 및 규제 사항 답변 내용 할부 금융업 시설 금융 감독 위원회 등록 대상 등록 영위 것 금지 사업자 등록 여부 결정 수 다만 금융 감독 위원회 등록 경우 우리 검사 감독 대상 자금 조달 방법 제한 법 제 부동산 취득 제한 법 제 자기 열사 대한 여신 제한 법 제 등 각종 규제 또한 금감위 등록 금융 여신전문금융업법 외무 역법 특례 법 제 의료기기 법 상의 특례 법 제 행정처분 상의 특례 법 제 등기 등록 상의 특례 법 제 사채 발행 특례 법 제 등 혜택 동시 적용,할부금융업 시설대여업 등록시 혜택 규제사항,"【질문내용】할부금융업, 시설대여업 등록시 혜택 규제사항 【답변내용】할부금융업 시설대여업 금융감독위원회 등록 대상 등록 이 영위 것 금지 사업자 등록 여부 결정 수 금융감독위원회 등록 경우 우리원 검사․감독 대상 자금조달방법 제한(법 제47조), 부동산 취득 제한(법 제49조), 자기계열사 제한(법 제50조) 등 각종 규제 금감위 등록 여신전문금융사 여신전문금융업법 대외무역법상 특례(법 제30조), 의료기기법상 특례(법 제31조), 행정처분 특례(법 제32조), 등기․등록상 특례(법 제33조), 사채발행 특례(법 제48조) 등 혜택 적용 됨",할부 금융업 시설 대여업 등록 시 혜택 규제 사항,질문 내용 할부 금융업 시설 대여업 등록 시 혜택 규제 사항 답변 내용 할부 금융업 시설 대여업 금융 감독 위원회 등록 대상 등록 영위 것 금지 사업자 등록 여부 결정 수 금융 감독 위원회 등록 경우 원 검사 감독 대상 자금 조달 방법 제한 법 조 부동산 취득 제한 법 조 계열사 여신 제한 법 조 등 각종 규제 금감위 등록 여신 전문 금융사 여신전문금융업법 대외 무역 법 특례 법 조 의료기 기법 특례 법 조 행정 처분 특례 법 조 등기 등록 특례 법 조 사채 발행 특례 법 조 등 혜택 동시 적용
CR-Reits(기업구조조정부동산투자회사)의 개념,"  【질문내용】CR-Reits(기업구조조정부동산투자회사)란?【답변내용】‘CR-Reits’란 다수의 투자자로부터 자금을 모집하여 기업의 구조조정용 부동산에 투자하고 그 수익을 투자자들에게 배당의 형태로 배분하는 회사형 부동산 펀드를 의미함. 외환위기 이후 부실기업의 구조조정 및 부동산시장의 활성화 대책을 위해 2001년 4월 도입되었음.CR-REITs는 회사설립·청산을 용이하게 하기 위하여 명목회사(paper company) 형태로 도입되었으며, 이에 따라 상근 임직원과 지점이 없고 자산운용업무는 자산관리회사(AMC)에, 주식 판매업무는 판매회사에, 일반적인 사무 업무는 사무수탁회사에, 자산의 보관업무는 자산보관회사에 위탁하게 됨.",기업 구조 조정 부동산 투자 회사 개념,질문 내용 기업 구조 조정 부동산 투자 회사 답변 내용 다수 투자자 자금 모집 기업 구조 조정 부동산 투자 수익 투자자 배당 형태 배분 회사 부동산 펀드 의미 외환 위기 이후 부실기업 구조 조정 부동산 시장 활성 대책 년 월 도입 회사 설립 청산 명목 회사 형태 도입 이 상근 임직원 지점 자산 운용 업무 자산관리 회사 주식 판매 업무 판매 회사 일반 사무 업무 사무 수탁 회사 자산 보관 업무 자산 보관 회사 위탁,기업 구조조정 부동산 투자 회사 의 개념,질문 내용 기업 구조조정 부동산 투자 회사 란 답변 내용 란 다수 투자자 로부터 자금 모집 기업 구조조정 용 부동산 투자 그 수익 투자자 배당 형태 배분 회사 부동산 펀드 의미 함 외환위기 이후 부실 기업 구조조정 및 부동산 시장 활성화 대책 위해 도입 회사 설립 청산 위 명목 회사 형태 도입 이 상근 임 직원 지점 자산운용 업무 자산 관리 회사 주식 판매업 판매 회사 일반 사무 업무 사무 수탁 회사 자산 보관 업무 자산 보관 회사 위탁,기업구조조정부동산투자회사 개념,"【질문내용】CR-Reits(기업구조조정부동산투자회사)란 【답변내용】‘CR-Reits’란 다수 투자자 자금 모집 기업 구조조정용 부동산 투 수익 투자자들 배당 형태 배분 회사형 부동산 펀드 의미 외환위 이후 부실기업 구조조정 부동산시장 활성화 대책 2001년 4월 도입 회사설립·청산 용이 명목회사(paper 형태 도입 이 상근 임직원 지점 자산운용업무 자산관리회사(AMC)에, 주식 판매업무 판매회사 일반적 사무 업무 사무수탁회사 자산 보관업무 자산보관회사 위탁 됨",기업 구조조정 부동산 투자 회사 개념,질문 내용 기업 구조조정 부동산 투자 회사 답변 내용 다수 투자자 자금 모집 기업 구조조정 부동산 투자 수익 투자자 배당 형태 배분 회사 부동산 펀드 의미 외환 위기 이후 부실기업 구조조정 부동산 시장 활성 대책 2001년 4월 도입 회사 설립 청산 명목 회사 형태 도입 상근 임직원 지점 자산운용 업무 자산 관리 회사 주식 판매 업무 판매 회사 일반 사무 업무 사무 수탁 회사 자산 보관 업무 자산 보관 회사 위탁
리츠(부동산투자회사)와 CR-Reits의 차이,"  【질문내용】리츠(부동산투자회사)와 CR-Reits가 어떻게 다른지?【답변내용】REITs(Real Estate Investment Trusts)는 부동산투자회사법상 부동산투자회사를 말하는 것으로 다수의 투자자로부터 투자자금을 모아 부동산 및 부동산 관련 유가증권에 투자하거나 부동산 관련 저당대출 등을 운용하여 얻은 수익을 투자자에게 배당하는 것을 목적으로 하는 상법상 주식회사를 말함.리츠는 ‘일반 Reits’와 ‘CR-Reits'로 분류되며 이 중에서 CR-Reits는 투자대상이 ‘기업구조조정용 부동산’으로 한정됨. ‘일반 Reits’는 상법상 주식회사 또는 명목상 회사(Paper Company) 2가지 형태가 있으나, ‘CR-REITs’는 명목상 회사(Paper Company)로 기업의 구조조정용 부동산을 투자대상으로 함으로써 자산유동화를 통한 기업의 구조조정을 지원하는데 초점을 맞추고 있음.",리츠 부동산 투자 회사 차이,질문 내용 리츠 부동산 투자 회사 답변 내용 부동산 투자 회사법 부동산 투자 회사 말 것 다수 투자자 투자 자금 부동산 부동산 관련 유가 증권 투자 부동산 관련 저당 대출 등 운용 수익 투자자 배당 것 목적 상법 주식회사 말 리츠 일반 분류 중 투자 대상 기업 구조 조정 부동산 한정 일반 상법 주식회사 명목상 회사 가지 형태 명목상 회사 기업 구조 조정 부동산 투자 대상 자산 유동 기업 구조 조정 지원 데 초점,리츠 부동산 투자 회사 의 차이,질문 내용 리츠 부동산 투자 회사 다른 답변 내용 부동산 투자 회사법 부동산 투자 회사 말 것 다수 투자자 로부터 투자 자금 부동산 및 부동산 관련 유가 증권 투자 거나 부동산 관련 대출 등 운용 수익 투자자 배당 것 목적 상법 주식회사 말함 리츠 일반 로 분류 이 중 투자 대상 기업 구조조정 용 부동산 한정 일반 상법 주식회사 명목 회사 가지 형태 명목 회사 로 기업 구조조정 용 부동산 투자 대상 함 자산 유동화 통한 기업 구조조정 지원 초점,리츠(부동산투자회사) 차이,【질문내용】리츠(부동산투자회사) 【답변내용】REITs(Real 부동산투자회사법상 부동산투자회사 말 것 다수 투자자 투자자금 부동산 부동산 관련 유가증권 투자하 부동산 관련 저당대출 등 운용 수익 투자자 배당 것 목적 상법상 주식회사 말 리츠 ‘일반 Reits’ ‘CR-Reits' 분류 중 투자대상 ‘기업구조조정용 부동산’ 한정 ‘일반 Reits’ 상법상 주식회사 명목상 회사(Paper 2가지 형태 ‘CR-REITs’ 명목상 회사(Paper 기업 구조조정용 부동산 투자대상 자산유동화 기업 구조조정 지원 초점,리츠 부동산 투자 회사 차이,질문 내용 리츠 부동산 투자 회사 답변 내용 부동산 투자 회사법 부동산 투자 회사 말 것 다수 투자자 투자 자금 모아 부동산 부동산 관련 유가증권 투자 부동산 관련 저당 대출 등 운용 수익 투자자 배당 것 목적 상법 주식회사 말 리츠 일반 분류 중 투자 대상 기업 구조조정 부동산 한정 일반 상법 주식회사 명목 회사 가지 형태 명목 회사 기업 구조조정 부동산 투자 대상 자산 유동화 기업 구조조정 지원 초점
반대매매는 어떤 경우에 하게 되나요?,"반대매매란 증권회사가 미수금 충당, 위탁증거금 확보, 신용거래 시 담보비율 유지 등 채권 확보를 위하여 고객재산을 처분하는 것을 말합니다.  증권회사 계좌를 통해 고객이 증권을 매매할 때 매수대금을 결제기일 내에 납입하지 아니할 경우 증권회사는 그 다음날에 미수채권 상당액의 고객재산을 처분하여 미수금에 충당하여야 하며, 선물․옵션거래의 경우에도 증권회사가 정한 시한 내에 고객이 선물․옵션위탁증거금을 납부하지 아니할 경우 증권회사는 고객의 미결제약정을 반대매매하거나 대용증권을 처분하는 등 위탁증거금 확보를 위해 필요한 조치를 해야 합니다.  또한 신용거래의 경우 매매 증권이나 대용증권 등의 시세변동으로 담보가액이 일정 비율에 미달하여 고객에게 추가담보를 요구했으나 납부되지 아니한 경우에도 고객재산의 처분을 통해 담보비율을 유지하여야 합니다.",반대 매매 경우,반대 매매 증권 회사 미수금 충당 위탁 증거금 확보 신용거래 시 담보 비율 유지 등 채권 확보 고객 재산 처분 것 말 증권 회사 계좌 고객 증권 매매 때 매수 대금 결제 기일 내 납입 경우 증권 회사 다음 날 미수 채권 상당액 고객 재산 처분 미수금 충당 선물 옵션거래 경우 증권 회사 시한 내 고객 선물 옵션 위탁 증거금 납부 경우 증권 회사 고객 미결제 약정 반대 매매 대용증권 처분 등 위탁 증거금 확보 필요 조치 신용거래 경우 매매 증권 대용증권 등 시세 변동 담보 액 일정 비율 미달 고객 추가 담보 요구 납부 경우 고객 재산 처분 담보 비율 유지,매매 경우,란 증권 회사 미수 금 충당 위탁 증거 금 확보 신용거래 시 담보 비율 유지 등 채권 확보 위 고객 재산 처분 것 말 증권 회사 계좌 통해 고객 증권 매매 때 대금 결제 기일 내 납 입하 경우 증권 회사 그 다음 날 미수 채권 상당 액 고객 재산 처분 미수 금 충당 선물 옵션거래 경우 증권 회사 정 시한 내 고객 선물 옵션 위탁 증거 금 납부 경우 증권 회사 고객 미결 약정 매하 거나 대용 증권 처분 등 위탁 증거 금 확보 위해 조치 또한 신용거래 경우 매매 증권 대용 증권 등 변동 담보 가액 일정 비율 미달 고객 추가 담보 요구 납부 경우 고객 재산 처분 통해 담보 비율 유지,반대매매 경우,반대매매 증권회사 미수금 충당 위탁증거금 확보 신용거래 시 담보비율 유지 등 채권 확보 고객재산 처분 것 말 증권회사 계좌 고객 증권 매매 때 매수대금 결제 내 납입 경우 증권회사 다음날 미수채권 상당액 고객재산 처분 미수금 충당 선물․옵션거래 경우 증권회사 시한 내 고객 선물․옵션위탁증거금 납부 경우 증권회사 고객 미결제약정 반대매매 대용증권 처분 등 위탁증거금 확보 필요 조치 신용거래 경우 증권 대용증권 등 시세변동 담보가액 일정 비율 미달 고객 추가담보 요구 납부 경우 고객재산 처분 담보비율 유,반대 매매 경우,반대 매매 증권 회사 미수금 충당 위탁 증거금 확보 신용거래 시 담보 비율 유지 등 채권 확보 고객 재산 처분 것 말 증권 회사 계좌 고객 증권 매매 때 매수 대금 결제 기일 납입 경우 증권 회사 다음날 미수 채권 상당액 고객 재산 처분 미수금 충당 선물 옵션 거래 경우 증권 회사 시 고객 선물 옵션 위탁 증거금 납부 경우 증권 회사 고객 미 결제 약정 반대 매매 대용증권 처분 등 위탁 증거금 확보 필요 조치 신용거래 경우 매매 증권 대용증권 등 시세 변동 담보 가액 일정 비율 미달 고객 추가 담보 요구 납부 경우 고객 재산 처분 담보 비율 유지
신용거래란 무엇인가요?,"신용거래란 신용거래융자 또는 신용거래대주를 받아 결제하는 거래를 말합니다. 여기서 신용거래융자란 증권시장에서의 매매거래를 위하여 투자자(개인에 한함)에게 제공하는 매수대금의 융자를 말하며, 매도증권을 대여하는 경우에는 신용거래대주라고 합니다. 금융투자업자는 신용거래융자를 함에 있어서는 매수한 주권(주권과 관련된 증권예탁증권을 포함) 또는 상장지수집합투자기구의 집합투자증권을, 신용거래대주를 함에 있어서는 매도대금을 담보로 징구합니다.  신용거래 대상 증권은 상장된 주권(주권과 관련된 증권예탁증권 포함) 및 상장지수집합투자증권으로 제한되며, 신용거래는 개인에게만 허용됩니다. 현재 신용거래한도는 그 결정이 금융투자업자의 자율에 맡겨져 있어 회사마다 다르게 적용되고 있으며, 금융투자업자는 통상 자기자본의 40% 이내에서 한도를 정하여 운영하고 있습니다. ",신용거래 무엇,신용거래 신용거래 융자 신용거래 대주 결제 거래 말 여기 신용거래 융자 증권 시장 매매 거래 투자자 개인 제공 매수 대금 융자 말 매도 증권 대여 경우 신용거래 금융 투자 업자 신용거래 융자 매수 주권 주권 관련 증권 예탁 증권 포함 상장지수 집합 투자 기구 집합 투자 증권 신용거래 대주 매도 대금 담보 징구 신용거래 대상 증권 상장 주권 주권 관련 증권 예탁 증권 포함 상장지수 집합 투자 증권 제한 신용거래 개인 허용 신용거래 한도 결정 금융 투자 업자 자율 회사 적용 금융 투자 업자 자기 자본 이내 한도 운영,신용거래 란 무엇,신용거래 란 신용거래 융자 신용거래 대주 결제 거래 말 여기 신용거래 융자 란 증권 시장 매매 거래 위 투자자 개인 함 제공 대금 융자 말 매도 증권 대여 경우 신용거래 대주 금융투자 업자 신용거래 융자 함 매수 주권 주권 관련 증권 탁 증권 포함 상장 지수 집합 투자 기구 집합 투자 증권 신용거래 대주 함 매도 대금 담보 징 구합 니 신용거래 대상 증권 상장 주권 주권 관련 증권 탁 증권 포함 및 상장 지수 집합 투자 증권 제한 신용거래 개인 허용 현재 신용거래 한도 그 결정 금융투자 업자 자율 회사 적용 금융투자 업자 통상 자기 자본 이내 한도 정 운영,신용거래 무엇,신용거래 신용거래융자 신용거래대주 결제하 거래 말 여기 신용거래융자 증권시장 매매거래 투자자(개인 제공 매수대금 융자 말 매도증권 대 경우 신용거래대주 금융투자업자 신용거래융자 매수한 주권(주권 관련 증권예탁증권 포함 상장지수집합투자기구 집합투자증권 신용거래대주 매도대금 담보 징구 신용거래 대상 증권 상장 주권(주권 관련 증권예탁증권 포함 상장지수집합투자증권 제한 신용거래 개인 허용 신용거래한도 결정 금융투자업자 자율 회사 적용 금융투자업자 자기자본 40 이내 한도 운영,신용거래,신용거래 신용거래 융자 신용거래 대주 결제 거래 말 신용거래 융자 증권 시장 매매 거래 투자자 개인 한 제공 매수 대금 융자 말 매도 증권 대여 경우 신용거래 대 금융 투자 업자 신용거래 융자 매수 주권 주권 관련 증권 예탁 증권 포함 상장 지수 집합 투자 기구 집합 투자 증권 신용거래 대주 매도 대금 담보 징구 신용거래 대상 증권 상장 주권 주권 관련 증권 예탁 증권 포함 상장 지수 집합 투자 증권 제한 신용거래 개인 허용 신용거래 한도 결정 금융 투자 업자 자율 회사 적용 금융 투자 업자 자기 자본 이내 한도 운영
증권투자상담사란 무엇인가요?,"증권투자상담사란 투자권유자문인력 중 한가지로 투자자를 상대로 증권(집합투자증권, 파생결합증권 제외)에 대하여 투자권유 또는 투자자문 업무를 수행하는 자를 말합니다.  증권회사의 임·직원이 투자자에게 투자권유 등을 하기 위해서는 반드시 한국금융투자협회가 등록 및 관리하는 증권투자상담사 자격이 있어야 하므로 투자상담을 받을 경우에는 해당 직원의 증권투자상담사 등록 여부를 반드시 확인해 보아야 합니다.  증권투자상담사로 활동하려면 한국금융투자협회가 주관하는 증권투자상담사 자격시험에 합격하고 한국금융투자협회에 등록을 하여야 합니다.",증권 투자 담사 무엇,증권 투자 상담 사란 투자 유자 문 인력 중 가지 투자자 상대 증권 집합 투자 증권 파생결합증권 제외 투자 권유 투자 자문 업무 수행 자 말 증권 회사 임 직원 투자자 투자 권유 등 한국 금융 투자 협회 등록 관리 증권 투자 담사 자격 투자 상담 경우 해당 직원 증권 투자 담사 등록 여부 확인 증권 투자 담사 활동 한국 금융 투자 협회 주관 증권 투자 담사 자격시험 합격 한국 금융 투자 협회 등록,증권투자상담사 란 무엇,증권투자상담사 란 투자 권유 인력 중 한가지 투자자 상대로 증권 집합 투자 증권 파생 결합 증권 제외 대하 투자 권유 투자 자문 업무 수행 말 증권 회사 임 직원 투자자 투자 권유 등 위 반드시 한국 금융투자 협회 등록 및 관리 증권투자상담사 자격 투자 상담 경우 해당 직원 증권투자상담사 등록 여부 반드시 확인 보아 증권투자상담사 활동 한국 금융투자 협회 주관 증권투자상담사 자격시험 합격 한국 금융투자 협회 등록,증권투자상담사란 무엇,"증권투자상담사란 투자권유자문인력 중 한가지 투자자 상대 증권(집합투자증권, 파생결합증권 제외 투자권유 투자자문 업무 수행 자 말 증권회사 직원 투자자 투자권유 등 한국금융투자협회 등록 관리 증권투자상담사 자격 투자상담 경우 해당 직원 증권투자상담사 등록 여부 확인 증권투자상담사 활동 한국금융투자협회 주관 증권투자상담사 자격시험 합격 한국금융투자협회 등록",증권 투자 상담 사라,증권 투자 상담 사라 투자 권유 자문 인력 중 한가지 투자자 상대로 증권 집합 투자 증권 파생결합증권 제외 투자 권유 투자 자문 업무 수행 자 말 증권 회사 임 직원 투자자 투자 권유 등 한국금융투자협회 등록 관리 증권 투자 상담 사 자격 투자 상담 경우 해당 직원 증권 투자 상담 사 등록 여부 확인 증권 투자 상담 사 활동 한국금융투자협회 주관 증권 투자 상담 사 자격시험 합격 한국금융투자협회 등록
위탁증거금이란?,,위탁 증거금,,위탁 증거 금,,위탁증거금,,위탁 증거금,
